"date","state","percent_positive","unweighted_ili","ILIp"
2019-11-03,"PA",0.85,1.42162,0.0001208377
2019-11-03,"RI",NA,0.228973,NA
2019-11-03,"SC",1.09,3.33957,0.00036401313
2019-11-03,"SD",0,0.804734,0
2019-11-03,"TN",2,2.60294,0.000520588
2019-11-03,"TX",16.74,4.73487,0.00792617238
2019-11-03,"UT",2.63,2.24445,0.00059029035
2019-11-03,"VT",0.93,1.18386,0.00011009898
2019-11-03,"VA",1.1,2.20508,0.0002425588
2019-11-03,"WA",1.87,1.38184,0.00025840408
2019-11-03,"WV",0,1.41958,0
2019-11-03,"WI",0.7,1.70525,0.0001193675
2019-11-03,"WY",NA,1.0495,NA
2019-11-10,"AL",4.19,3.65487,0.00153139053
2019-11-10,"AK",NA,2.78923,NA
2019-11-10,"AZ",5.22,2.86685,0.0014964957
2019-11-10,"AR",1.71,3.72257,0.00063655947
2019-11-10,"CA",12.92,2.44212,0.00315521904
2019-11-10,"CO",5.67,2.98331,0.00169153677
2019-11-10,"CT",0.88,2.02981,0.00017862328
2019-11-10,"DE",5.36,0.0795545,4.2641212e-05
2019-11-10,"FL",NA,NA,NA
2019-11-10,"GA",8.15,4.48816,0.0036578504
2019-11-10,"HI",5.41,2.25564,0.00122030124
2019-11-10,"ID",8.45,0.352319,0.000297709555
2019-11-10,"IL",1.93,2.00902,0.00038774086
2019-11-10,"IN",3.04,1.80357,0.00054828528
2019-11-10,"IA",1.44,1.10834,0.00015960096
2019-11-10,"KS",0,1.77803,0
2019-11-10,"KY",4.35,2.51122,0.0010923807
2019-11-10,"LA",19.85,10.0855,0.0200197175
2019-11-10,"ME",1.37,1.10982,0.00015204534
2019-11-10,"MD",0,2.16577,0
2019-11-10,"MA",0.58,1.46429,8.492882e-05
2019-11-10,"MI",1.98,1.04618,0.00020714364
2019-11-10,"MN",1.39,2.43498,0.00033846222
2019-11-10,"MS",3.23,5.02775,0.00162396325
2019-11-10,"MO",1.95,1.57008,0.0003061656
2019-11-10,"MT",4.76,1.1386,0.0005419736
2019-11-10,"NE",12.31,2.68822,0.00330919882
2019-11-10,"NV",30.56,3.33819,0.01020150864
2019-11-10,"NH",NA,0.418799,NA
2019-11-10,"NJ",NA,3.17628,NA
2019-11-10,"NM",4.99,2.52861,0.00126177639
2019-11-10,"NY",2.21,1.37191,0.00030319211
2019-11-10,"NC",2.27,1.56202,0.00035457854
2019-11-10,"ND",17.43,1.92653,0.00335794179
2019-11-10,"OH",1.19,0.932317,0.000110945723
2019-11-10,"OK",1.44,2.93991,0.00042334704
2019-11-10,"OR",7.78,1.05704,0.00082237712
2019-11-10,"PA",0.94,1.47832,0.00013896208
2019-11-10,"RI",NA,0.459629,NA
2019-11-10,"SC",2.2,3.94737,0.0008684214
2019-11-10,"SD",0,1.17585,0
2019-11-10,"TN",4.05,2.96013,0.00119885265
