"date","state","unweighted_ili","state_pos","region_pos","hybrid_pos","region.x","ILIp","flu_av7","flu_per_cap_av7","mask_av7","rr_av7","gp_av7","park_av7","transit_av7","work_av7","resid_av7","school_av7","elderly_av7","mask_policy_av7"
2019-10-06,"MI",0.924962,0.09,0.461277,0.09,5,8.324658e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"MN",2.33836,0.31,0.461277,0.31,5,7.248916e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"MS",2.03907,0,2.80567,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"MO",0.35482,0.35,0.563154,0.35,7,1.24187e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"MT",0.799842,0,1.30321,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"NE",1.85789,0,0.563154,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"NV",0.819311,6.67,2.07254,6.67,9,0.000546480437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"NH",0.186047,NA,0.838926,0.838926,1,1.56079665522e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"NJ",2.03954,NA,0.625326,0.625326,2,0.000127537739004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"NM",1.12857,0,2.75398,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"NY",1.00583,0.68,0.625326,0.68,2,6.839644e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"NC",1.06707,0.83,2.80567,0.83,4,8.856681e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"ND",0.966184,0.65,1.30321,0.65,8,6.280196e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"OH",0.668931,0.34,0.461277,0.34,5,2.2743654e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"OK",1.6426,0,2.75398,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"OR",1.05688,0.63,0.974478,0.63,10,6.658344e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"PA",1.0181,0,0.512383,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"RI",0.372787,NA,0.838926,0.838926,1,3.12740706762e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
