date,state,elderly_mode,school_mode,masking_mode,unweighted_ili,flu_av7,flu_per_cap_av7,mask_av7,rr_av7,gp_av7,park_av7,transit_av7,work_av7,resid_av7
2019-10-20,AR,,,,1.7754,,,,,,,,,
2019-10-20,CA,,,,1.73687,,,,,,,,,
2019-10-20,CO,,,,2.65636,,,,,,,,,
2019-10-20,CT,,,,1.76784,,,,,,,,,
2019-10-20,DE,,,,0.0747943,,,,,,,,,
2019-10-20,FL,,,,,,,,,,,,,
2019-10-20,GA,,,,2.99099,,,,,,,,,
2019-10-20,HI,,,,2.11364,,,,,,,,,
2019-10-20,ID,,,,0.780312,,,,,,,,,
2019-10-20,IL,,,,1.90258,,,,,,,,,
2019-10-20,IN,,,,1.1562,,,,,,,,,
2019-10-20,IA,,,,1.00646,,,,,,,,,
2019-10-20,KS,,,,1.41598,,,,,,,,,
2019-10-20,KY,,,,1.59703,,,,,,,,,
2019-10-20,LA,,,,5.5079699999999985,,,,,,,,,
2019-10-20,ME,,,,0.924604,,,,,,,,,
2019-10-20,MD,,,,1.50493,,,,,,,,,
2019-10-20,MA,,,,0.989778,,,,,,,,,
2019-10-20,MI,,,,0.8384309999999999,,,,,,,,,
2019-10-20,MN,,,,2.39513,,,,,,,,,
2019-10-20,MS,,,,2.96099,,,,,,,,,
2019-10-20,MO,,,,0.7180340000000001,,,,,,,,,
2019-10-20,MT,,,,0.760525,,,,,,,,,
2019-10-20,NE,,,,2.12993,,,,,,,,,
2019-10-20,NV,,,,1.23402,,,,,,,,,
2019-10-20,NH,,,,0.655594,,,,,,,,,
2019-10-20,NJ,,,,2.32372,,,,,,,,,
2019-10-20,NM,,,,1.60244,,,,,,,,,
2019-10-20,NY,,,,1.0396299999999998,,,,,,,,,
2019-10-20,NC,,,,1.27839,,,,,,,,,
2019-10-20,ND,,,,1.11292,,,,,,,,,
2019-10-20,OH,,,,0.969159,,,,,,,,,
2019-10-20,OK,,,,1.96691,,,,,,,,,
2019-10-20,OR,,,,1.22155,,,,,,,,,
2019-10-20,PA,,,,1.37937,,,,,,,,,
2019-10-20,RI,,,,0.307929,,,,,,,,,
2019-10-20,SC,,,,2.54701,,,,,,,,,
2019-10-20,SD,,,,0.7248479999999999,,,,,,,,,
2019-10-20,TN,,,,1.87105,,,,,,,,,
2019-10-20,TX,,,,3.2387200000000003,,,,,,,,,
2019-10-20,UT,,,,1.90343,,,,,,,,,
2019-10-20,VT,,,,0.871755,,,,,,,,,
2019-10-20,VA,,,,2.08905,,,,,,,,,
2019-10-20,WA,,,,1.03806,,,,,,,,,
2019-10-20,WV,,,,1.24357,,,,,,,,,
2019-10-20,WI,,,,1.16637,,,,,,,,,
2019-10-20,WY,,,,1.00751,,,,,,,,,
2019-10-27,AL,,,,2.6499200000000003,,,,,,,,,
2019-10-27,AK,,,,1.51358,,,,,,,,,
2019-10-27,AZ,,,,1.40129,,,,,,,,,
2019-10-27,AR,,,,2.38727,,,,,,,,,
2019-10-27,CA,,,,1.86748,,,,,,,,,
2019-10-27,CO,,,,2.7934,,,,,,,,,
2019-10-27,CT,,,,1.81377,,,,,,,,,
2019-10-27,DE,,,,0.437318,,,,,,,,,
2019-10-27,FL,,,,,,,,,,,,,
2019-10-27,GA,,,,3.3288300000000004,,,,,,,,,
2019-10-27,HI,,,,2.69581,,,,,,,,,
2019-10-27,ID,,,,1.00503,,,,,,,,,
2019-10-27,IL,,,,1.8228,,,,,,,,,
2019-10-27,IN,,,,1.38889,,,,,,,,,
2019-10-27,IA,,,,0.939029,,,,,,,,,
2019-10-27,KS,,,,1.53271,,,,,,,,,
2019-10-27,KY,,,,1.93466,,,,,,,,,
2019-10-27,LA,,,,6.81417,,,,,,,,,
2019-10-27,ME,,,,0.933496,,,,,,,,,
2019-10-27,MD,,,,1.65202,,,,,,,,,
2019-10-27,MA,,,,1.06684,,,,,,,,,
2019-10-27,MI,,,,0.990705,,,,,,,,,
2019-10-27,MN,,,,2.40882,,,,,,,,,
2019-10-27,MS,,,,2.62253,,,,,,,,,
2019-10-27,MO,,,,0.960096,,,,,,,,,
2019-10-27,MT,,,,0.796503,,,,,,,,,
2019-10-27,NE,,,,2.07411,,,,,,,,,
2019-10-27,NV,,,,1.6492099999999998,,,,,,,,,
2019-10-27,NH,,,,0.640478,,,,,,,,,
2019-10-27,NJ,,,,2.62045,,,,,,,,,
2019-10-27,NM,,,,1.62342,,,,,,,,,
2019-10-27,NY,,,,1.23284,,,,,,,,,
2019-10-27,NC,,,,1.28462,,,,,,,,,
2019-10-27,ND,,,,1.26832,,,,,,,,,
2019-10-27,OH,,,,0.8635299999999999,,,,,,,,,
2019-10-27,OK,,,,2.42398,,,,,,,,,
2019-10-27,OR,,,,1.16815,,,,,,,,,
2019-10-27,PA,,,,1.2018,,,,,,,,,
2019-10-27,RI,,,,0.326391,,,,,,,,,
2019-10-27,SC,,,,2.50265,,,,,,,,,
2019-10-27,SD,,,,0.782453,,,,,,,,,
2019-10-27,TN,,,,2.14267,,,,,,,,,
2019-10-27,TX,,,,3.70212,,,,,,,,,
2019-10-27,UT,,,,1.77771,,,,,,,,,
2019-10-27,VT,,,,0.955005,,,,,,,,,
2019-10-27,VA,,,,2.09611,,,,,,,,,
2019-10-27,WA,,,,1.27472,,,,,,,,,
2019-10-27,WV,,,,1.22906,,,,,,,,,
2019-10-27,WI,,,,1.4976200000000002,,,,,,,,,
2019-10-27,WY,,,,1.15546,,,,,,,,,
2019-11-03,AL,,,,3.3596,,,,,,,,,
2019-11-03,AK,,,,2.40385,,,,,,,,,
2019-11-03,AZ,,,,2.58722,,,,,,,,,
2019-11-03,AR,,,,2.61617,,,,,,,,,
2019-11-03,CA,,,,2.19393,,,,,,,,,
2019-11-03,CO,,,,2.6835,,,,,,,,,
2019-11-03,CT,,,,2.02184,,,,,,,,,
2019-11-03,DE,,,,0.1554,,,,,,,,,
2019-11-03,FL,,,,,,,,,,,,,
2019-11-03,GA,,,,3.87897,,,,,,,,,
2019-11-03,HI,,,,1.7033,,,,,,,,,
2019-11-03,ID,,,,0.777706,,,,,,,,,
2019-11-03,IL,,,,1.86122,,,,,,,,,
2019-11-03,IN,,,,1.4411200000000002,,,,,,,,,
2019-11-03,IA,,,,1.0789,,,,,,,,,
2019-11-03,KS,,,,1.48686,,,,,,,,,
2019-11-03,KY,,,,2.08395,,,,,,,,,
2019-11-03,LA,,,,8.689739999999999,,,,,,,,,
2019-11-03,ME,,,,0.934091,,,,,,,,,
2019-11-03,MD,,,,1.85614,,,,,,,,,
2019-11-03,MA,,,,1.22268,,,,,,,,,
2019-11-03,MI,,,,0.998877,,,,,,,,,
2019-11-03,MN,,,,2.27738,,,,,,,,,
2019-11-03,MS,,,,4.07347,,,,,,,,,
2019-11-03,MO,,,,0.796601,,,,,,,,,
2019-11-03,MT,,,,0.930997,,,,,,,,,
2019-11-03,NE,,,,2.36472,,,,,,,,,
2019-11-03,NV,,,,2.36328,,,,,,,,,
2019-11-03,NH,,,,0.957156,,,,,,,,,
2019-11-03,NJ,,,,2.7859700000000003,,,,,,,,,
2019-11-03,NM,,,,2.01753,,,,,,,,,
2019-11-03,NY,,,,1.29974,,,,,,,,,
2019-11-03,NC,,,,1.48144,,,,,,,,,
2019-11-03,ND,,,,1.46671,,,,,,,,,
2019-11-03,OH,,,,0.960314,,,,,,,,,
2019-11-03,OK,,,,2.69122,,,,,,,,,
2019-11-03,OR,,,,1.26008,,,,,,,,,
2019-11-03,PA,,,,1.42162,,,,,,,,,
2019-11-03,RI,,,,0.228973,,,,,,,,,
2019-11-03,SC,,,,3.33957,,,,,,,,,
2019-11-03,SD,,,,0.8047340000000001,,,,,,,,,
2019-11-03,TN,,,,2.6029400000000003,,,,,,,,,
2019-11-03,TX,,,,4.73487,,,,,,,,,
