"","region_type","region","year","week","weighted_ili","unweighted_ili","age_0_4","age_25_49","age_25_64","age_5_24","age_50_64","age_65","ilitotal","num_of_providers","total_patients","week_start"
"435","States","Wisconsin",2019,47,NA,1.57279,NA,NA,NA,NA,NA,NA,406,47,25814,2019-11-17
"436","States","Wyoming",2019,47,NA,1.18539,NA,NA,NA,NA,NA,NA,61,21,5146,2019-11-17
"437","States","Commonwealth of the Northern Mariana Islands",2019,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-17
"438","States","Puerto Rico",2019,47,NA,6.61174,NA,NA,NA,NA,NA,NA,321,11,4855,2019-11-17
"439","States","Virgin Islands",2019,47,NA,0.769231,NA,NA,NA,NA,NA,NA,5,2,650,2019-11-17
"440","States","New York City",2019,47,NA,2.52914,NA,NA,NA,NA,NA,NA,2602,74,102881,2019-11-17
"441","States","Alabama",2019,48,NA,4.70394,NA,NA,NA,NA,NA,NA,2048,98,43538,2019-11-24
"442","States","Alaska",2019,48,NA,2.24646,NA,NA,NA,NA,NA,NA,103,18,4585,2019-11-24
"443","States","Arizona",2019,48,NA,2.86129,NA,NA,NA,NA,NA,NA,276,29,9646,2019-11-24
"444","States","Arkansas",2019,48,NA,3.65809,NA,NA,NA,NA,NA,NA,101,13,2761,2019-11-24
"445","States","California",2019,48,NA,2.74306,NA,NA,NA,NA,NA,NA,1205,122,43929,2019-11-24
"446","States","Colorado",2019,48,NA,3.70322,NA,NA,NA,NA,NA,NA,1132,70,30568,2019-11-24
"447","States","Connecticut",2019,48,NA,2.61969,NA,NA,NA,NA,NA,NA,1015,78,38745,2019-11-24
"448","States","Delaware",2019,48,NA,0.614125,NA,NA,NA,NA,NA,NA,6,7,977,2019-11-24
"449","States","District of Columbia",2019,48,NA,2.63357,NA,NA,NA,NA,NA,NA,279,5,10594,2019-11-24
"450","States","Florida",2019,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-24
"451","States","Georgia",2019,48,NA,5.70542,NA,NA,NA,NA,NA,NA,4304,97,75437,2019-11-24
"452","States","Hawaii",2019,48,NA,3.649,NA,NA,NA,NA,NA,NA,84,19,2302,2019-11-24
"453","States","Idaho",2019,48,NA,1.17532,NA,NA,NA,NA,NA,NA,12,8,1021,2019-11-24
"454","States","Illinois",2019,48,NA,2.55489,NA,NA,NA,NA,NA,NA,1984,191,77655,2019-11-24
"455","States","Indiana",2019,48,NA,2.14118,NA,NA,NA,NA,NA,NA,64,26,2989,2019-11-24
"456","States","Iowa",2019,48,NA,1.51327,NA,NA,NA,NA,NA,NA,61,19,4031,2019-11-24
"457","States","Kansas",2019,48,NA,1.81893,NA,NA,NA,NA,NA,NA,221,32,12150,2019-11-24
"458","States","Kentucky",2019,48,NA,3.04802,NA,NA,NA,NA,NA,NA,344,44,11286,2019-11-24
"459","States","Louisiana",2019,48,NA,10.7286,NA,NA,NA,NA,NA,NA,5771,101,53791,2019-11-24
"460","States","Maine",2019,48,NA,1.19228,NA,NA,NA,NA,NA,NA,157,55,13168,2019-11-24
"461","States","Maryland",2019,48,NA,2.8248,NA,NA,NA,NA,NA,NA,1300,73,46021,2019-11-24
"462","States","Massachusetts",2019,48,NA,1.91389,NA,NA,NA,NA,NA,NA,961,76,50212,2019-11-24
"463","States","Michigan",2019,48,NA,1.21021,NA,NA,NA,NA,NA,NA,273,83,22558,2019-11-24
"464","States","Minnesota",2019,48,NA,4.05946,NA,NA,NA,NA,NA,NA,213,20,5247,2019-11-24
"465","States","Mississippi",2019,48,NA,7.3034,NA,NA,NA,NA,NA,NA,1251,44,17129,2019-11-24
"466","States","Missouri",2019,48,NA,0.695652,NA,NA,NA,NA,NA,NA,8,14,1150,2019-11-24
"467","States","Montana",2019,48,NA,1.42826,NA,NA,NA,NA,NA,NA,130,42,9102,2019-11-24
"468","States","Nebraska",2019,48,NA,5.18686,NA,NA,NA,NA,NA,NA,619,65,11934,2019-11-24
"469","States","Nevada",2019,48,NA,3.63079,NA,NA,NA,NA,NA,NA,391,33,10769,2019-11-24
"470","States","New Hampshire",2019,48,NA,0.677966,NA,NA,NA,NA,NA,NA,10,14,1475,2019-11-24
"471","States","New Jersey",2019,48,NA,3.9026,NA,NA,NA,NA,NA,NA,1154,40,29570,2019-11-24
"472","States","New Mexico",2019,48,NA,3.35036,NA,NA,NA,NA,NA,NA,656,51,19580,2019-11-24
"473","States","New York",2019,48,NA,1.97264,NA,NA,NA,NA,NA,NA,998,135,50592,2019-11-24
"474","States","North Carolina",2019,48,NA,1.85556,NA,NA,NA,NA,NA,NA,1705,161,91886,2019-11-24
"475","States","North Dakota",2019,48,NA,2.97824,NA,NA,NA,NA,NA,NA,78,13,2619,2019-11-24
"476","States","Ohio",2019,48,NA,1.0144,NA,NA,NA,NA,NA,NA,155,49,15280,2019-11-24
"477","States","Oklahoma",2019,48,NA,3.80488,NA,NA,NA,NA,NA,NA,312,27,8200,2019-11-24
"478","States","Oregon",2019,48,NA,2.07423,NA,NA,NA,NA,NA,NA,812,99,39147,2019-11-24
"479","States","Pennsylvania",2019,48,NA,1.7945,NA,NA,NA,NA,NA,NA,795,126,44302,2019-11-24
"480","States","Rhode Island",2019,48,NA,0.684095,NA,NA,NA,NA,NA,NA,28,23,4093,2019-11-24
"481","States","South Carolina",2019,48,NA,4.59937,NA,NA,NA,NA,NA,NA,508,25,11045,2019-11-24
"482","States","South Dakota",2019,48,NA,1.55816,NA,NA,NA,NA,NA,NA,146,32,9370,2019-11-24
"483","States","Tennessee",2019,48,NA,5.24653,NA,NA,NA,NA,NA,NA,2092,87,39874,2019-11-24
"484","States","Texas",2019,48,NA,7.33775,NA,NA,NA,NA,NA,NA,1783,117,24299,2019-11-24
"485","States","Utah",2019,48,NA,3.8,NA,NA,NA,NA,NA,NA,608,51,16000,2019-11-24
"486","States","Vermont",2019,48,NA,1.37931,NA,NA,NA,NA,NA,NA,54,17,3915,2019-11-24
"487","States","Virginia",2019,48,NA,3.41112,NA,NA,NA,NA,NA,NA,3413,159,100055,2019-11-24
"488","States","Washington",2019,48,NA,3.56457,NA,NA,NA,NA,NA,NA,427,58,11979,2019-11-24
"489","States","West Virginia",2019,48,NA,1.21075,NA,NA,NA,NA,NA,NA,123,51,10159,2019-11-24
"490","States","Wisconsin",2019,48,NA,1.75611,NA,NA,NA,NA,NA,NA,393,47,22379,2019-11-24
"491","States","Wyoming",2019,48,NA,0.951132,NA,NA,NA,NA,NA,NA,29,20,3049,2019-11-24
"492","States","Commonwealth of the Northern Mariana Islands",2019,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-24
"493","States","Puerto Rico",2019,48,NA,6.47349,NA,NA,NA,NA,NA,NA,315,12,4866,2019-11-24
"494","States","Virgin Islands",2019,48,NA,1.15942,NA,NA,NA,NA,NA,NA,8,2,690,2019-11-24
"495","States","New York City",2019,48,NA,3.12113,NA,NA,NA,NA,NA,NA,2895,76,92755,2019-11-24
"496","States","Alabama",2019,49,NA,5.05257,NA,NA,NA,NA,NA,NA,2441,96,48312,2019-12-01
"497","States","Alaska",2019,49,NA,2.44837,NA,NA,NA,NA,NA,NA,115,18,4697,2019-12-01
"498","States","Arizona",2019,49,NA,3.03117,NA,NA,NA,NA,NA,NA,425,30,14021,2019-12-01
"499","States","Arkansas",2019,49,NA,3.39666,NA,NA,NA,NA,NA,NA,177,15,5211,2019-12-01
"500","States","California",2019,49,NA,2.71881,NA,NA,NA,NA,NA,NA,1697,125,62417,2019-12-01
"501","States","Colorado",2019,49,NA,4.03004,NA,NA,NA,NA,NA,NA,1465,70,36352,2019-12-01
"502","States","Connecticut",2019,49,NA,2.60224,NA,NA,NA,NA,NA,NA,1041,79,40004,2019-12-01
"503","States","Delaware",2019,49,NA,0.353607,NA,NA,NA,NA,NA,NA,5,7,1414,2019-12-01
"504","States","District of Columbia",2019,49,NA,1.56758,NA,NA,NA,NA,NA,NA,193,4,12312,2019-12-01
"505","States","Florida",2019,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-01
"506","States","Georgia",2019,49,NA,5.14094,NA,NA,NA,NA,NA,NA,4204,96,81775,2019-12-01
"507","States","Hawaii",2019,49,NA,2.88298,NA,NA,NA,NA,NA,NA,102,21,3538,2019-12-01
"508","States","Idaho",2019,49,NA,1.11257,NA,NA,NA,NA,NA,NA,17,6,1528,2019-12-01
"509","States","Illinois",2019,49,NA,2.59479,NA,NA,NA,NA,NA,NA,2279,190,87830,2019-12-01
"510","States","Indiana",2019,49,NA,2.41353,NA,NA,NA,NA,NA,NA,127,26,5262,2019-12-01
"511","States","Iowa",2019,49,NA,1.12523,NA,NA,NA,NA,NA,NA,85,20,7554,2019-12-01
"512","States","Kansas",2019,49,NA,2.21101,NA,NA,NA,NA,NA,NA,320,32,14473,2019-12-01
